t,x,y
9.0068E+00,-9.131621E-04,-1.23269E-01
9.040289E+00,-1.184099E-03,-1.255567E-01
9.073767E+00,-1.521998E-03,-1.2781E-01
9.107256E+00,-1.332295E-03,-1.300453E-01
9.140733E+00,-1.713938E-03,-1.322793E-01
9.174211E+00,-1.997278E-03,-1.346856E-01
9.2077E+00,-2.094394E-03,-1.369723E-01
9.241178E+00,-1.998081E-03,-1.392152E-01
9.274656E+00,-2.083731E-03,-1.414048E-01
9.308144E+00,-2.13532E-03,-1.439719E-01
9.341622E+00,-2.090901E-03,-1.463186E-01
9.375111E+00,-1.74355E-03,-1.486202E-01
9.408589E+00,-1.671898E-03,-1.514686E-01
9.442067E+00,-1.350895E-03,-1.538664E-01
9.475667E+00,-1.00192E-03,-1.56255E-01
9.509033E+00,-7.493061E-04,-1.589612E-01
9.542522E+00,-6.473958E-04,-1.6152E-01
9.576E+00,-1.303397E-04,-1.639729E-01
9.609478E+00,2.905859E-04,-1.667693E-01
9.642967E+00,6.135606E-04,-1.693316E-01
9.676444E+00,9.539677E-04,-1.718579E-01
9.709922E+00,7.985357E-04,-1.744292E-01
9.743411E+00,8.65168E-04,-1.769153E-01
9.776889E+00,1.007233E-03,-1.796224E-01
9.810378E+00,9.993513E-04,-1.822199E-01
9.843856E+00,1.258517E-03,-1.847932E-01
9.877333E+00,1.040771E-03,-1.873831E-01
9.910822E+00,9.776942E-04,-1.901103E-01
9.9443E+00,7.103629E-04,-1.927126E-01
9.977789E+00,6.284572E-04,-1.954609E-01
1.001127E+01,4.13973E-04,-1.981107E-01
1.004474E+01,3.868031E-04,-2.010164E-01
1.007823E+01,7.396022E-05,-2.037534E-01
1.011171E+01,-2.278301E-04,-2.06396E-01
1.014519E+01,-3.855704E-04,-2.092391E-01
1.017868E+01,-5.129683E-04,-2.119758E-01
1.021216E+01,-1.021484E-03,-2.148182E-01
1.024564E+01,-9.71917E-04,-2.176666E-01
1.027912E+01,-1.145352E-03,-2.206073E-01
1.03126E+01,-1.341438E-03,-2.233576E-01
1.034609E+01,-1.501615E-03,-2.263383E-01
1.037957E+01,-1.512619E-03,-2.294324E-01
1.041304E+01,-1.541125E-03,-2.324719E-01
1.044653E+01,-1.362771E-03,-2.352729E-01
1.048001E+01,-1.385518E-03,-2.385117E-01
1.05135E+01,-1.042484E-03,-2.413889E-01
1.054698E+01,-3.323174E-04,-2.444247E-01
1.058046E+01,3.715152E-04,-2.475319E-01
1.061394E+01,8.348869E-04,-2.506833E-01
1.064742E+01,2.363608E-03,-2.538994E-01
1.068091E+01,3.250036E-03,-2.569793E-01
1.071439E+01,3.863541E-03,-2.601552E-01
1.074787E+01,4.779214E-03,-2.633804E-01
1.078136E+01,5.627998E-03,-2.664113E-01
1.081483E+01,6.200099E-03,-2.695163E-01
1.084831E+01,6.730107E-03,-2.727751E-01
1.08818E+01,7.163788E-03,-2.759551E-01
1.091528E+01,7.805504E-03,-2.793782E-01
1.094877E+01,7.925556E-03,-2.826117E-01
1.098224E+01,8.320128E-03,-2.858609E-01
1.101572E+01,8.483339E-03,-2.891937E-01
1.104921E+01,8.719101E-03,-2.92406E-01
1.108269E+01,8.765296E-03,-2.957489E-01
1.111617E+01,8.786242E-03,-2.990212E-01
1.114966E+01,8.993407E-03,-3.022796E-01
1.118313E+01,9.167518E-03,-3.056634E-01
1.121662E+01,9.069551E-03,-3.089209E-01
1.12501E+01,8.963931E-03,-3.123597E-01
1.128358E+01,8.934192E-03,-3.155612E-01
1.131707E+01,8.848594E-03,-3.189774E-01
1.135054E+01,8.638739E-03,-3.224849E-01
1.138403E+01,8.515493E-03,-3.258452E-01
1.141751E+01,8.432369E-03,-3.292983E-01
1.145099E+01,8.086478E-03,-3.328058E-01
1.148448E+01,7.688483E-03,-3.363694E-01
1.151796E+01,7.486822E-03,-3.399023E-01
1.155144E+01,7.191496E-03,-3.434883E-01
1.158492E+01,6.931798E-03,-3.46955E-01
1.16184E+01,6.747232E-03,-3.505932E-01
1.165189E+01,6.514487E-03,-3.542056E-01
1.168537E+01,6.310107E-03,-3.577961E-01
1.171884E+01,6.132792E-03,-3.614421E-01
1.175233E+01,5.854197E-03,-3.650973E-01
1.178581E+01,5.785033E-03,-3.687584E-01
1.18193E+01,5.729751E-03,-3.724874E-01
1.185278E+01,5.777015E-03,-3.761694E-01
1.188626E+01,5.750805E-03,-3.799671E-01
1.191974E+01,5.699217E-03,-3.837307E-01
1.195322E+01,5.861283E-03,-3.875951E-01
1.19867E+01,6.105446E-03,-3.916392E-01
1.202019E+01,6.04319E-03,-3.9533E-01
1.205367E+01,6.284273E-03,-3.992123E-01
1.208716E+01,6.550296E-03,-4.030756E-01
1.212063E+01,6.784879E-03,-4.07101E-01
1.215411E+01,6.870352E-03,-4.110319E-01
1.21876E+01,7.278445E-03,-4.149568E-01
1.222108E+01,7.521863E-03,-4.188738E-01
1.225456E+01,7.90821E-03,-4.227226E-01
1.228804E+01,8.299443E-03,-4.269685E-01
1.232152E+01,8.37994E-03,-4.307707E-01
1.235501E+01,8.935038E-03,-4.348251E-01
1.238849E+01,8.923497E-03,-4.388878E-01
1.242197E+01,9.481924E-03,-4.428998E-01
1.245546E+01,9.610838E-03,-4.468454E-01
1.248893E+01,9.771014E-03,-4.51136E-01
1.252242E+01,1.026304E-02,-4.552019E-01
1.25559E+01,1.028524E-02,-4.593911E-01
1.258938E+01,1.034127E-02,-4.636256E-01
1.262287E+01,1.054867E-02,-4.677546E-01
1.265634E+01,1.076144E-02,-4.718727E-01
1.268982E+01,1.075475E-02,-4.760871E-01
1.272331E+01,1.056823E-02,-4.803342E-01
1.275679E+01,1.080597E-02,-4.845138E-01
1.279028E+01,1.071584E-02,-4.888579E-01
1.282376E+01,1.051853E-02,-4.932112E-01
1.285723E+01,1.035716E-02,-4.975707E-01
1.289072E+01,1.027595E-02,-5.020047E-01
1.29242E+01,9.962056E-03,-5.063139E-01
1.295769E+01,1.00242E-02,-5.109225E-01
1.299117E+01,9.860639E-03,-5.152976E-01
1.302464E+01,9.548065E-03,-5.196563E-01
1.305813E+01,9.367135E-03,-5.242462E-01
1.309161E+01,8.861501E-03,-5.286355E-01
1.312509E+01,8.468319E-03,-5.330402E-01
1.315858E+01,8.881535E-03,-5.377811E-01
1.319206E+01,8.637732E-03,-5.420864E-01
1.322554E+01,8.053045E-03,-5.466476E-01
1.325902E+01,7.879715E-03,-5.513091E-01
1.32925E+01,7.611538E-03,-5.559282E-01
1.332599E+01,7.550225E-03,-5.604543E-01
1.335947E+01,7.400894E-03,-5.650584E-01
1.339294E+01,7.283911E-03,-5.696443E-01
1.342643E+01,7.298509E-03,-5.742446E-01
1.345991E+01,7.372352E-03,-5.7908E-01
