t,y,vy,ay
5.990922E0,-1.531874E-1,-4.497130E-2,-1.501486E-1
6.007722E0,-1.538748E-1,-5.137484E-2,-2.712879E-2
6.024411E0,-1.549079E-1,-5.095878E-2,-2.599273E-1
6.041089E0,-1.555751E-1,-5.369732E-2,1.571691E-1
6.057778E0,-1.566996E-1,-5.320244E-2,1.378192E-1
6.074467E0,-1.573509E-1,-4.256789E-2,2.907187E-1
6.091156E0,-1.581204E-1,-4.648237E-2,-2.946185E-1
6.107844E0,-1.589024E-1,-5.135909E-2,-4.565181E-1
6.124533E0,-1.598346E-1,-6.206689E-2,1.208515E-1
6.141222E0,-1.609740E-1,-5.093180E-2,6.654807E-1
6.157911E0,-1.615346E-1,-3.396137E-2,1.004503E-1
6.174600E0,-1.621076E-1,-4.818267E-2,-7.074834E-1
6.191289E0,-1.631429E-1,-6.154989E-2,-3.281164E-1
6.207978E0,-1.641620E-1,-5.752302E-2,-6.370303E-2
6.224667E0,-1.650629E-1,-6.163940E-2,7.215788E-1
6.241356E0,-1.662194E-1,-4.027807E-2,2.998133E-1
6.258044E0,-1.664072E-1,-3.838906E-2,-4.360754E-1
6.274722E0,-1.675003E-1,-6.659075E-2,-1.957135E-1
6.291411E0,-1.686292E-1,-4.462752E-2,3.855604E-1
6.308100E0,-1.689898E-1,-4.380407E-2,-1.837218E-1
6.324789E0,-1.700912E-1,-6.108925E-2,-5.994916E-1
6.341478E0,-1.710289E-1,-5.885911E-2,1.137820E-1
6.358167E0,-1.720558E-1,-5.910456E-2,1.018323E-2
6.374856E0,-1.730016E-1,-5.734606E-2,3.241254E-1
6.391544E0,-1.739699E-1,-4.997469E-2,2.864722E-1
6.408233E0,-1.746697E-1,-4.495740E-2,2.329346E-1
6.424922E0,-1.754705E-1,-4.468514E-2,-2.337542E-1
6.441611E0,-1.761612E-1,-5.013476E-2,-3.562929E-1
6.458300E0,-1.771439E-1,-5.946524E-2,-3.990144E-1
6.474989E0,-1.781460E-1,-6.207907E-2,3.309486E-1
6.491678E0,-1.792159E-1,-5.081574E-2,3.498963E-1
6.508367E0,-1.798421E-1,-4.523091E-2,4.810803E-1
6.525044E0,-1.807251E-1,-4.063149E-2,-3.467641E-1
6.541733E0,-1.811978E-1,-4.919321E-2,-4.877851E-1
6.558422E0,-1.823671E-1,-6.529358E-2,5.912225E-2
6.575111E0,-1.833772E-1,-4.508237E-2,3.394489E-2
6.591800E0,-1.838719E-1,-5.658074E-2,1.862922E-1
6.608489E0,-1.852657E-1,-5.311225E-2,-2.133924E-2
6.625178E0,-1.856446E-1,-4.199907E-2,2.597621E-1
6.641867E0,-1.866676E-1,-5.517406E-2,-4.686168E-1
6.658556E0,-1.874862E-1,-5.262448E-2,-1.196504E-1
6.675244E0,-1.884241E-1,-6.045454E-2,1.607187E-1
6.691933E0,-1.895040E-1,-5.005961E-2,6.552805E-1
6.708622E0,-1.900949E-1,-3.399023E-2,-4.988191E-2
6.725311E0,-1.906386E-1,-5.080822E-2,-3.343268E-1
6.742000E0,-1.917908E-1,-5.288600E-2,-1.959149E-1
6.758678E0,-1.924032E-1,-4.845713E-2,-6.248067E-2
6.775367E0,-1.934077E-1,-6.056599E-2,-1.459238E-1
6.792056E0,-1.944248E-1,-5.289043E-2,2.644849E-1
6.808744E0,-1.951730E-1,-4.881472E-2,2.708013E-1
6.825433E0,-1.960541E-1,-4.697053E-2,3.644374E-2
6.842122E0,-1.967408E-1,-4.483927E-2,-1.698112E-1
6.858811E0,-1.975507E-1,-5.377541E-2,-6.044840E-1
6.875500E0,-1.985357E-1,-6.511617E-2,3.317357E-2
6.892189E0,-1.997241E-1,-5.585433E-2,1.931589E-1
6.908878E0,-2.004000E-1,-5.179617E-2,6.430006E-1
6.925567E0,-2.014530E-1,-4.272475E-2,2.825509E-1
6.942256E0,-2.018261E-1,-3.335879E-2,-3.824260E-1
6.958944E0,-2.025664E-1,-5.939606E-2,-8.579644E-1
6.975633E0,-2.038086E-1,-6.594602E-2,-1.147527E-1
6.992311E0,-2.047668E-1,-5.851356E-2,4.604688E-1
7.009000E0,-2.057610E-1,-5.301758E-2,3.175886E-1
7.025689E0,-2.065364E-1,-4.594628E-2,4.210976E-1
7.042378E0,-2.072945E-1,-4.045908E-2,-3.977744E-1
7.059067E0,-2.078869E-1,-5.508002E-2,-5.002634E-1
7.075756E0,-2.091330E-1,-6.486350E-2,-4.433293E-2
7.092444E0,-2.100519E-1,-5.147257E-2,7.389824E-1
7.109133E0,-2.108510E-1,-4.148786E-2,3.021784E-1
